No.,問題文,選択肢A,選択肢B,選択肢C,選択肢D,正解,解説,分野
71,企業内のデータを視覚化し、ビジネスユーザーが直感的に分析やダッシュボード作成を行えるようにする、Google CloudのエンタープライズBI（ビジネスインテリジェンス）プラットフォームは何ですか？,Cloud Spanner,Dataproc,Looker,Dataflow,C,Lookerは強力なデータ分析・可視化プラットフォームであり、組織全体のデータ主導の意思決定（データの民主化）を支援します。,【単元2：データと AI によるイノベーション】
72,構造化・非構造化を問わず、あらゆる形式の生データを加工せずにそのまま大量に保存しておく一元的なストレージリポジトリを何と呼びますか？,データウェアハウス,データマート,データレイク,リレーショナルデータベース,C,データレイク（Cloud Storageがよく使われます）は、将来どのような分析に使うか決まっていない生データ（ログ、画像、動画など）を安価に蓄積する場所です。,【単元2：データと AI によるイノベーション】
73,機械学習の専門知識や複雑なコード記述がなくても、自社独自のデータ（画像やテキストなど）を使って高品質なカスタムAIモデルをトレーニングできるサービスは何ですか？,BigQuery ML,Dialogflow,AutoML,Compute Engine,C,AutoMLを利用すると、GUIベースの操作で手軽に独自の機械学習モデル（自社製品の画像認識など）を作成・デプロイできます。,【単元2：データと AI によるイノベーション】
74,カスタマーサポート向けのチャットボットや音声アシスタントなど、自然言語による対話型インターフェースを構築するためのプラットフォームは何ですか？,Document AI,Vision API,Dialogflow,Speech-to-Text API,C,Dialogflowは、ユーザーの意図を理解し、自然な会話を実現するための強力な対話型AI構築プラットフォームです。,【単元2：データと AI によるイノベーション】
75,請求書、領収書、契約書などの画像やPDFから、AIを活用して自動的にテキストや構造化データを抽出・解析するサービスは何ですか？,Natural Language API,Document AI,Dataflow,Cloud Spanner,B,Document AIは、手作業でのデータ入力作業を削減し、ドキュメント処理のワークフローを自動化・効率化します。,【単元2：データと AI によるイノベーション】
76,コールセンターでの顧客との通話録音データをテキスト化し、後でキーワード分析を行いたい場合に利用するAPIは何ですか？,Text-to-Speech API,Speech-to-Text API,Translation API,Vision API,B,音声（Speech）をテキスト（Text）に変換する「Speech-to-Text API」が最適です。逆（テキストを音声で読み上げる）はText-to-Speechです。,【単元2：データと AI によるイノベーション】
77,従来のプログラミングと「機械学習（ML）」の決定的な違いは何ですか？,MLは人間がすべてのルール（If-Then）をプログラミングする必要がある,MLはデータと正解を与えることで、システム自らがパターン（ルール）を学習する,MLは常に100%正確な答えを返す,MLは構造化データしか処理できない,B,従来のプログラミングが「ルール」を入力して「答え」を出すのに対し、機械学習は「大量のデータと答え」を入力して「ルール（モデル）」を自動生成します。,【単元2：データと AI によるイノベーション】
78,HadoopやSparkといったオープンソースのビッグデータ処理フレームワークを、Google Cloud上で簡単に実行・管理できるマネージドサービスは何ですか？,Dataproc,Dataflow,BigQuery,Pub/Sub,A,既存のHadoop/Sparkワークロードをクラウドへ移行する際、Dataprocを利用することでクラスターの構築と管理が劇的に簡素化されます。,【単元2：データと AI によるイノベーション】
79,テキストデータ（ニュース記事やSNSの投稿など）を入力すると、AIがその文章の「感情（ポジティブ・ネガティブ）」や「構文」「エンティティ（固有名詞）」を分析してくれるAPIは何ですか？,Translation API,Natural Language API,Document AI,Vision API,B,Natural Language APIは、自然言語処理を用いてテキストの意味や構造を深く理解するためのサービスです。,【単元2：データと AI によるイノベーション】
80,BigQuery内で、標準SQLのみを使用して（Pythonなどのコードを書かずに）機械学習モデルの作成と実行ができる機能は何ですか？,Dataflow,AutoML,BigQuery ML,Vertex AI,C,BigQuery MLを利用することで、データアナリストは慣れ親しんだSQLを使って、データが保存されている場所で直接AIモデルを構築・予測できます。,【単元2：データと AI によるイノベーション】
81,蓄積された過去の大量のデータを一括で処理する「バッチ処理」に対し、センサーデータやクリックストリームなどを発生した瞬間に連続して処理する手法を何と呼びますか？,アーカイブ処理,ストリーミング処理,トランザクション処理,オフライン処理,B,ストリーミング処理は、リアルタイムでの不正検知や、即時のダッシュボード更新など、鮮度が重要なデータの分析に不可欠です（Dataflowなどが利用されます）。,【単元2：データと AI によるイノベーション】
82,小売業のECサイトにおいて、ユーザーの過去の閲覧履歴や購買データをもとに「この商品を買った人は、こんな商品も買っています」と提案し、売上を向上させるAIのユースケースは何ですか？,画像認識 (Vision AI),音声合成 (Text-to-Speech),レコメンデーション (Recommendations AI / Retail API),感情分析 (Natural Language API),C,レコメンデーションAIは、個々のユーザーの好みに合わせた商品やコンテンツを予測・提案し、顧客体験（パーソナライズ）と収益を向上させます。,【単元2：データと AI によるイノベーション】
83,複数のシステムからデータを抽出（Extract）、変換・加工（Transform）し、データウェアハウスに書き込む（Load）という一連のデータ処理プロセスを指す頭字語は何ですか？,CRM,ERP,ETL,DNS,C,"ETL（Extract, Transform, Load）は、データ分析を行う前準備として、データを綺麗に整えて統合する不可欠なプロセスです。DataflowやDataprocがこの役割を担います。",【単元2：データと AI によるイノベーション】
84,Cloud Storageにおいて、数年に1度しかアクセスしないような法規制のコンプライアンス目的のバックアップデータを、最も安価に長期間保存するのに適したストレージクラスは何ですか？,Standard,Nearline,Coldline,Archive,D,Archiveストレージは保存料金が最も安価なクラスで、1年に1回未満のアクセスしか発生しないデータ（長期アーカイブ）に最適です。,【単元2：データと AI によるイノベーション】
85,ECサイトの「ショッピングカート」や「ユーザーのセッション情報」など、データ構造が柔軟に変更される可能性が高く、高速な読み書きが求められる機能のバックエンドに適したデータベースの種類はどれですか？,リレーショナルデータベース (RDBMS),データウェアハウス,NoSQLデータベース (ドキュメント型/キーバリュー型),オブジェクトストレージ,C,NoSQL（FirestoreやCloud Bigtableなど）は、固定のスキーマ（表の構造）を持たず、柔軟かつ超高速なデータの読み書きが得意です。,【単元2：データと AI によるイノベーション】
86,機械学習モデルが高い精度で予測を行えるようにするために、トレーニング段階で最も重要となるものは何ですか？,複雑なアルゴリズムを手動でコーディングすること,大量かつ高品質（偏りのない）なデータを用意すること,最新のオンプレミスサーバーを購入すること,データウェアハウスの容量を制限すること,B,機械学習の性能は「データの質と量」に依存します。不完全なデータや偏ったデータ（バイアス）で学習させると、予測結果も不正確になります。,【単元2：データと AI によるイノベーション】
87,工場の製造ラインにおいて、カメラで撮影した製品の画像から「傷やへこみ」などの不良品をAIが自動的に検出し、品質管理を効率化するユースケースに最も適した技術は何ですか？,自然言語処理 (NLP),コンピュータビジョン (画像認識),音声認識,時系列予測,B,コンピュータビジョン（Vision AI / AutoML Visionなど）を利用することで、人間の目視検査をAIに代替させ、精度向上とコスト削減を実現できます。,【単元2：データと AI によるイノベーション】
88,企業がデータを安全かつ適切に管理・保護し、品質を維持しながら、法令やプライバシー規則（GDPRなど）を遵守するための組織的なルールやプロセスの枠組みを何と呼びますか？,データモデリング,データマイニング,データガバナンス,データパイプライン,C,データガバナンスは、誰がどのデータにアクセスできるのか、データの出所はどこか、などを管理し、データの信頼性とセキュリティを担保する取り組みです。,【単元2：データと AI によるイノベーション】
89,過去の売上データ、天候データ、イベント情報などを組み合わせてAIに学習させ、来月の商品の売上数や在庫の必要量をあらかじめ見積もる分析手法を何と呼びますか？,記述的分析 (何が起きたか),診断的分析 (なぜ起きたか),予測的分析 (これから何が起きるか),処方的分析 (どうすればよいか),C,予測分析（Predictive Analytics）は、過去のパターンから将来のトレンドや需要を高精度に予測し、在庫切れや廃棄ロスを防ぎます。,【単元2：データと AI によるイノベーション】
90,RDBMS（Cloud SQLやCloud Spannerなど）が保証する、データベースの信頼性を示す「ACID特性」に含まれないものはどれですか？,原子性 (Atomicity),一貫性 (Consistency),独立性 (Isolation),弾力性 (Elasticity),D,ACIDの「D」は耐久性（Durability）です。弾力性（Elasticity）はクラウドリソースのスケーリングに関する用語であり、ACID特性には含まれません。,【単元2：データと AI によるイノベーション】
91,Google Cloudのマネージドなオブジェクトストレージサービス「Cloud Storage」の利用例として最も適切なものはどれですか？,動的なWebページのホスティング,リレーショナルデータベースのテーブルの保存,大量の画像、動画、ログファイルなどの非構造化データの保存と配信,サーバーレスアプリケーションのコードの実行,C,Cloud Storageは、バケットという単位で大量の非構造化データを保存・取得できます。静的なWebコンテンツのホスティングにも利用されますが、直接動的なWebページをホストするものではありません。,【単元2：データと AI によるイノベーション】
92,既存の構造化データを活用して、複雑な機械学習モデルをSQLクエリだけでBigQuery内で直接学習・推論できる機能は何ですか？,AutoML Tables,Cloud Vision API,BigQuery ML,TensorFlow,C,BigQuery MLは、データアナリストが慣れ親しんだSQLを使って、BigQueryに格納されたデータから機械学習モデルを簡単に構築・実行できるようにします。,【単元2：データと AI によるイノベーション】
93,人間の言語を理解し、テキストから意図やエンティティを抽出したり、感情分析を行ったりするGoogle Cloudのサービスカテゴリは何ですか？,コンピュータビジョン,音声処理,自然言語処理 (NLP),時系列予測,C,Natural Language APIなどのサービスは、自然言語処理（NLP）のカテゴリに属し、人間のテキストをコンピュータが理解・分析できるようにします。,【単元2：データと AI によるイノベーション】
94,顧客が自身のデータに基づいて、特定の業界（例：医療、金融）向けに事前学習されたAIモデルをさらにカスタマイズし、精度を向上させるサービスは何ですか？,BigQuery ML,Dialogflow,Vertex AI (特定のユースケース向けサービス),Cloud Functions,C,Vertex AIは、カスタマイズ可能なAIモデルのトレーニングとデプロイを可能にする統合プラットフォームです。Google Cloudは、特定の業界向けに特化したAI製品（例えば、Healthcare APIなど）も提供しています。,【単元2：データと AI によるイノベーション】
95,大量のデータに対して、並列処理と分散処理を組み合わせて高速に集計・計算を行うために、Apache SparkやHadoopなどをマネージドサービスとして提供するものは何ですか？,Pub/Sub,Dataflow,BigQuery,Dataproc,D,Dataprocは、Apache HadoopやSparkクラスターをGoogle Cloud上で簡単にデプロイ・管理できるようにするマネージドサービスです。,【単元2：データと AI によるイノベーション】
96,リアルタイムアナリティクスにおいて、データが生成された時点から分析結果が得られるまでの時間を何と呼びますか？,RTO (目標復旧時間),レイテンシ (Latency),スループット (Throughput),RPO (目標復旧地点),B,レイテンシ（遅延）は、データを処理するシステムにとって重要な指標であり、リアルタイム性が求められる用途では極力短くする必要があります。,【単元2：データと AI によるイノベーション】
97,複数のリージョンにわたって高い一貫性と可用性を備え、大規模なリレーショナルデータベースが必要なグローバルな金融取引システムに最適なGoogle Cloudのデータベースは何ですか？,Cloud SQL,Cloud Spanner,Firestore,Cloud Bigtable,B,Cloud Spannerは、世界規模で一貫性と水平スケーラビリティを提供する唯一のエンタープライズ向けリレーショナルデータベースであり、厳密なACID特性を保証します。,【単元2：データと AI によるイノベーション】
98,企業のDX推進において、データから新たな価値を創造する「データの民主化」を成功させるために不可欠な要素はどれですか？,データを特定の専門家のみが管理し、厳重に保護する,データをすべての従業員が自由にダウンロードし、外部に共有できる環境を作る,データを安全に管理・統合し、ビジネスユーザーが簡単にアクセス・分析できるツールと教育を提供する,データを常に暗号化せずに保存する,C,データの民主化は、データが安全かつアクセス可能であり、IT部門の助けなしに誰もが意思決定に利用できる環境を整備することです。これにはツールとリテラシー教育が不可欠です。,【単元2：データと AI によるイノベーション】
99,地理的に離れた場所にいる複数のデータアナリストが、同じBigQueryのデータセットを安全に共有し、共同で分析を行う際、データのコピーをせずにアクセスできる機能は何ですか？,BigQuery Admin,BigQuery Data Transfer Service,BigQuery Authorized Views (承認済みビュー),BigQuery Remote Functions,C,承認済みビューを使用すると、特定のデータセット全体ではなく、その一部だけを他のユーザーやグループに安全に共有し、共同作業を促進できます。,【単元2：データと AI によるイノベーション】
100,ストリーミングデータ処理において、データが一時的に蓄積され、後続のシステムに送信されるまでの橋渡しをするメッセージングサービスは何ですか？,BigQuery,Cloud Storage,Pub/Sub,Cloud SQL,C,Pub/Subは、アプリケーション間でメッセージを非同期に交換するためのメッセージングミドルウェアで、リアルタイムのイベント処理（ストリーミング）の基盤となります。,【単元2：データと AI によるイノベーション】
101,人工知能 (AI) が自ら学習し、推論を行うプロセスの総称は何ですか？,データウェアハウス,リレーショナルデータベース,機械学習 (Machine Learning / ML),オブジェクトストレージ,C,機械学習は、明示的なプログラミングなしに、データからパターンを学習し、予測や意思決定を行うAIのサブフィールドです。,【単元2：データと AI によるイノベーション】
102,データレイクとデータウェアハウスの主な違いは何ですか？,データレイクは構造化データのみを保存し、データウェアハウスは非構造化データのみを保存する。,データレイクは生データや非構造化データを保存し、データウェアハウスは構造化され、分析のために最適化されたデータを保存する。,データレイクは常にRDBMSを使用し、データウェアハウスはNoSQLのみを使用する。,データレイクはオンプレミスのみで、データウェアハウスはクラウドのみである。,B,データレイク（Cloud Storageが代表的）は「データを加工せず、そのまま」貯め、データウェアハウス（BigQuery）は「加工・構造化し、分析に特化」して貯めます。,【単元2：データと AI によるイノベーション】
103,Google Cloudにおいて、ログデータなどの時系列データを収集し、リアルタイムで監視・分析するためのサービス群は何ですか？,Cloud SQL と Cloud Spanner,Cloud Storage と Cloud CDN,"Cloud Logging, Cloud Monitoring, Cloud Trace",Cloud Build と Cloud Deploy,C,これら3つのサービスは、システムの Observability（可観測性）を提供し、ログ、メトリクス、トレースを通じてシステムの状況を詳細に把握できます。,【単元2：データと AI によるイノベーション】
104,企業が「レコメンデーションアルゴリズム」を構築する目的として最も適切なものはどれですか？,全てのユーザーに常に同じ製品を宣伝するため,ユーザーの過去の行動や好みに基づいて、購入する可能性のある製品やコンテンツを予測し推薦することで、顧客体験を向上させ、売上を増加させるため,データのサイロ化を促進するため,クラウドの利用料金を増やすため,B,レコメンデーションエンジンは、Eコマース、動画配信、音楽ストリーミングなどで広く利用され、パーソナライズされた体験を提供します。,【単元2：データと AI によるイノベーション】
105,データガバナンスにおける「データのライフサイクル管理」とは、主にどのような側面を指しますか？,データが生成されてから、保管、利用、アーカイブ、そして最終的に削除されるまでの全プロセスを管理すること,データが常にインターネット上で公開されていること,データを使用するすべての従業員に無制限のアクセス権を付与すること,データを一度作成したら、永久に更新しないこと,A,データのライフサイクル管理は、データの生成から廃棄までを一貫して管理し、セキュリティ、コンプライアンス、コスト効率を最適化する責任を伴います。,【単元2：データと AI によるイノベーション】
106,銀行の不正取引検知システムにおいて、リアルタイムで大量のトランザクションデータを分析し、異常パターンを即座に検出するために最適なデータ処理サービスは何ですか？,BigQuery (バッチ処理向け),Dataflow (ストリーム処理とバッチ処理の両方),Cloud SQL (トランザクション処理向け),Google Compute Engine (汎用VM),B,Dataflowは、Apache Beamをベースとした強力なストリーム処理エンジンであり、リアルタイムで大量のデータを処理し、低遅延での異常検知を可能にします。,【単元2：データと AI によるイノベーション】
107,Google Cloudの「AutoML」サービスがビジネスにもたらす主な価値は何ですか？,ベテランの機械学習エンジニアを一掃できる,機械学習の専門知識がなくても、高品質なカスタムAIモデルを迅速に開発・デプロイできる,サーバーの物理的なメンテナンスを自動化できる,顧客が所有するデータを抹消できる,B,AutoMLは、機械学習の民主化を推し進め、機械学習の専門家でなくてもAIプロジェクトを推進できるようにすることで、AIのビジネス活用を加速させます。,【単元2：データと AI によるイノベーション】
108,企業のDXにおいてデータ分析を強化する際、複数の部門に散在するデータを統合し、一元的なデータソースを構築する主な目的は何ですか？,各部門が独自のデータ分析ツールを使用することを強制するため,データのサイロ化を解消し、組織全体で一貫性のあるデータに基づいた意思決定を可能にするため,データにアクセスできる従業員の数を最小限に制限するため,データのバックアップを不要にするため,B,データ統合は、組織全体のデータに対する単一の真実の源（Single Source of Truth）を確立し、部門間でのデータ連携や高度な分析を可能にします。,【単元2：データと AI によるイノベーション】
109,高度な知識がなくても、画像内のテキストを読み取る（OCR）、画像内の顔を検出する、有名企業のロゴを認識するなどの機能を提供するAPI群を何と呼びますか？,Cloud Natural Language API,Cloud Vision AI,Cloud Speech-to-Text API,Cloud Translation API,B,Cloud Vision AIは、Googleの事前学習済みモデルを利用して、画像分析機能をアプリケーションに簡単に組み込むことができます。,【単元2：データと AI によるイノベーション】
110,既存のデータ分析基盤をGoogle Cloudに移行する際、オンプレミスのHadoop/Sparkクラスターのワークロードをそのまま移行し、マネージド環境で運用するために最適なサービスは何ですか？,BigQuery,Cloud SQL,Dataproc,Firestore,C,"Dataprocは、オープンソースのビッグデータフレームワーク（Hadoop, Spark, Flinkなど）をGoogle Cloud上でマネージドサービスとして提供するため、既存のワークロードの移行を容易にします。",【単元2：データと AI によるイノベーション】
111,企業のIoTデバイスから生成される膨大なセンサーデータをリアルタイムで収集し、後続の分析パイプライン（例: Dataflow）に引き渡すために最適なサービスは何ですか？,Cloud Storage,Pub/Sub,Cloud SQL,BigQuery,B,Pub/Subは、数百万人規模のデバイスやサービスからのメッセージを、リアルタイムかつ高いスループットで取り込むことに特化しています。,【単元2：データと AI によるイノベーション】
112,AIモデルを本番環境にデプロイした後も、モデルの性能が時間の経過とともに劣化しないように、定期的にデータとモデルを監視・再学習するプラクティスを何と呼びますか？,バッチ推論,MLOps (Machine Learning Operations),データクリーニング,フィーチャエンジニアリング,B,MLOpsは、開発・デプロイから運用・監視・再学習まで、機械学習モデルのライフサイクル全体を管理するための実践とツールを指します。,【単元2：データと AI によるイノベーション】
113,複数のGoogle Cloudサービス間でデータを連携・統合する際、イベント駆動型アーキテクチャの基盤となるメッセージングサービスは何ですか？,Cloud Load Balancing,Cloud CDN,Pub/Sub,Cloud DNS,C,Pub/Subは、異なるサービスやアプリケーション間でイベントメッセージを非同期にやり取りするためのハブとして機能します。,【単元2：データと AI によるイノベーション】
114,顧客が自身のデータの保管場所（リージョン）を「データレジデンシー要件」に従って明確に指定できるGoogle Cloudのサービスはどれですか？,Cloud Spanner,Cloud Storage,BigQuery,上記すべて（多くのGoogle Cloudサービスでリージョン指定が可能）,D,GDPRなどの規制に対応するため、多くのGoogle Cloudサービスでは、データの保管場所（リージョンまたはマルチリージョン）を顧客が選択できるようになっています。,【単元2：データと AI によるイノベーション】
115,非構造化データ（画像、動画、文書）から情報を抽出し、構造化された情報に変換するために使用されるAIの一分野は何ですか？,予測分析,画像認識 (Computer Vision) と自然言語処理 (NLP),最適化アルゴリズム,統計的品質管理,B,画像認識によって画像から物体やテキストを抽出し、自然言語処理によって文書から意味やエンティティを抽出するなど、非構造データの価値を引き出すAI技術です。,【単元2：データと AI によるイノベーション】
116,データサイエンスチームが、Jupyter Notebook環境でデータ分析や機械学習モデルの開発をインタラクティブに行うためのマネージドサービスは何ですか？,Dataproc,Vertex AI Workbench (旧 AI Platform Notebooks),BigQuery ML,Dataflow,B,Vertex AI Workbenchは、JupyterLabベースの開発環境を提供し、データサイエンティストがGPUサポートや事前構築されたMLフレームワークを利用して効率的に作業できるようにします。,【単元2：データと AI によるイノベーション】
117,金融サービスにおいて、顧客がGoogle Cloud上に構築したオンラインバンキングシステムで、データの強固な整合性（厳密なトランザクション）と数ミリ秒レベルの低遅延アクセスを保証する必要がある場合、どのデータベースを選択すべきですか？,Cloud Storage,Firestore,Cloud Spanner,Cloud Bigtable,C,Cloud Spannerは、グローバルな分散データベースでありながら、リレーショナルデータベースの強整合性とACID特性を保証し、金融取引などのミッションクリティカルな用途に最適です。,【単元2：データと AI によるイノベーション】
118,グローバルに展開するECサイトのリアルタイム検索機能のバックエンドとして、ミリ秒単位のアクセスが求められる超高速なキーバリューストアが必要な場合、どのデータベースを選択すべきですか？,Cloud SQL,Cloud Spanner,Cloud Bigtable,BigQuery,C,Cloud Bigtableは、HBase互換のワイドカラム型NoSQLデータベースであり、ペタバイト規模のデータに対してミリ秒単位の低遅延アクセスと高いスループットを提供します。,【単元2：データと AI によるイノベーション】
119,企業が生成AI（Generative AI）技術を活用して実現できるイノベーションの例として適切でないものはどれですか？,顧客からの問い合わせに対して、パーソナライズされた応答を生成するチャットボット,製品デザインのアイデアを自動的に生成する,マーケティングキャンペーン用の広告コピーや画像を自動生成する,既存のハードウェアの物理的なメンテナンスを完全に自動化する,D,生成AIは主にコンテンツ生成やテキスト理解、コード生成などに強みを発揮しますが、物理的なハードウェアのメンテナンスを直接自動化するものではありません（これにはロボティクスなどが関係します）。,【単元2：データと AI によるイノベーション】
120,企業が顧客情報の分析を通じて市場のトレンドを特定し、将来のビジネス戦略を策定するために使用するGoogle Cloudのツールスタックとして最適な組み合わせはどれですか？,"Compute Engine, Cloud Storage, Cloud Functions","Pub/Sub, Cloud DNS, Cloud Armor","BigQuery, Dataflow, Vertex AI, Looker","Cloud VPN, VPC, Cloud Interconnect",C,BigQueryでデータを貯め、Dataflowで加工、Vertex AIで機械学習、Lookerで可視化・分析という組み合わせは、データからビジネスインサイトを得るための一般的な分析パイプラインです。,【単元2：データと AI によるイノベーション】
121,インフラの構築・管理を一切行わずに、リクエストが来た時だけコンテナ化されたアプリケーションを実行・自動スケールできるサービスは何ですか？,Compute Engine,Google Kubernetes Engine (GKE),Cloud Run,Bare Metal Solution,C,Cloud Runはフルマネージドのサーバーレス コンテナ実行環境です。ゼロスケール（アクセスがない時はインスタンスが0になる）に対応しています。,【単元3：インフラストラクチャとアプリのモダナイゼーション】
122,複数のコンテナのデプロイ、スケーリング、ネットワーキングを自動化・管理（オーケストレーション）するマネージドサービスは何ですか？,Cloud Run,App Engine,Cloud Build,Google Kubernetes Engine (GKE),D,GKEは、Kubernetes環境を提供するマネージドサービスであり、大規模なコンテナオーケストレーションに不可欠です。,【単元3：インフラストラクチャとアプリのモダナイゼーション】
123,オンプレミスのVM環境をクラウドに移行する際、コードを書き直さずそのままインフラを移行する手法を何と呼びますか？,リプラットフォーム,リファクタリング,リフト＆シフト（リホスト）,リプレイス,C,リフト＆シフトは、アプリケーションの改修を最小限に抑え、素早くクラウドへ移行するためのアプローチです。,【単元3：インフラストラクチャとアプリのモダナイゼーション】
124,Google Cloud上で仮想マシン（VM）を作成し、独自のOS環境やソフトウェアを構築できるIaaSサービスは何ですか？,App Engine,Compute Engine,Cloud Run,Cloud Functions,B,Compute Engineは、Googleのインフラストラクチャ上で仮想マシンを提供するIaaSです。,【単元3：インフラストラクチャとアプリのモダナイゼーション】
125,企業が持つサービスやデータをAPIとして外部に公開する際、セキュリティ、分析、レート制限などを一元管理できるプラットフォームは何ですか？,Cloud Armor,Cloud Endpoints,Apigee,Identity-Aware Proxy (IAP),C,Apigeeは、企業のAPIエコシステムを構築・管理・収益化するためのフルライフサイクルAPI管理プラットフォームです。,【単元3：インフラストラクチャとアプリのモダナイゼーション】
126,インフラ管理が不要で、開発者がアプリケーションのコードをアップロードするだけでWebアプリを公開できるPaaSサービスは何ですか？,Compute Engine,GKE,Cloud Storage,App Engine,D,App Engineは、Webアプリケーションやモバイルバックエンドの構築に適したフルマネージドのPaaS（Platform as a Service）です。,【単元3：インフラストラクチャとアプリのモダナイゼーション】
127,一つの巨大なアプリケーションを、独立してデプロイ・拡張可能な複数の小さなサービスの集合体として構築する設計手法は何ですか？,モノリシックアーキテクチャ,マイクロサービスアーキテクチャ,サーバーレスアーキテクチャ,ピアツーピアアーキテクチャ,B,マイクロサービスは、機能ごとにサービスを分割することで、開発の俊敏性やスケーラビリティを向上させる手法です。,【単元3：インフラストラクチャとアプリのモダナイゼーション】
128,オンプレミスのVMware環境を、既存のツールやスキルセットを活かしたままGoogle Cloud上に移行・実行できるサービスは何ですか？,Migrate for Compute Engine,Google Cloud VMware Engine,Anthos,Bare Metal Solution,B,Google Cloud VMware Engineを使用すると、VMwareワークロードをネイティブにクラウドへリフト＆シフトできます。,【単元3：インフラストラクチャとアプリのモダナイゼーション】
129,Oracleデータベースなど、クラウドの仮想化環境に移行するのが難しい特殊なワークロードを実行するための専用ハードウェア環境は何ですか？,Bare Metal Solution,Compute Engine,Cloud SQL,GKE,A,Bare Metal Solutionは、ハイパーバイザ（仮想化レイヤー）を持たない物理サーバー環境を提供し、特殊なライセンス要件や性能要件を満たします。,【単元3：インフラストラクチャとアプリのモダナイゼーション】
130,ソースコードの変更を自動的にテストし、本番環境へ安全かつ迅速にデプロイする一連のプロセス（CI/CD）を実行するサービスは何ですか？,Cloud Source Repositories,Cloud Deploy,Cloud Build,Artifact Registry,C,Cloud Buildは、インフラストラクチャ上で継続的インテグレーション（CI）および継続的デリバリー（CD）を実行するサービスです。,【単元3：インフラストラクチャとアプリのモダナイゼーション】
131,Google Cloud、オンプレミス、他社クラウド（AWSやAzureなど）の複数の環境にまたがるコンテナ化されたアプリケーションを、一元的に管理できるプラットフォームは何ですか？,Anthos,App Engine,Cloud Run,Apigee,A,Anthosは、マルチクラウドおよびハイブリッドクラウド環境において、Kubernetesクラスタを一元管理し、一貫した運用を提供する強力なプラットフォームです。,【単元3：インフラストラクチャとアプリのモダナイゼーション】
132,世界中のユーザーに対して、画像や動画などの静的コンテンツを高速に配信するため、ユーザーに最も近いエッジサーバーにデータをキャッシュするサービスは何ですか？,Cloud DNS,Cloud Load Balancing,Cloud CDN (Content Delivery Network),Cloud Interconnect,C,Cloud CDNは、Googleのグローバルネットワークの末端（エッジ）を利用してコンテンツをキャッシュし、Webサイトの表示速度を向上させます。,【単元3：インフラストラクチャとアプリのモダナイゼーション】
133,クラウドネイティブな開発において「サーバーレス」という言葉が意味するものは何ですか？,物理的なサーバーが地球上に存在しないこと,開発者や運用者が、サーバーの構築やパッチ適用、スケーリングを管理する必要がないこと,ネットワーク接続なしでアプリケーションが動くこと,ソフトウェアをローカルPCでのみ実行すること,B,実際には裏側でサーバーが動いていますが、その管理作業をすべてクラウドプロバイダーが自動で行うため、ユーザーからは「サーバーが存在しないかのように」扱えます。,【単元3：インフラストラクチャとアプリのモダナイゼーション】
134,画像がアップロードされた時やメッセージが届いた時など、特定の「イベント（トリガー）」が発生した時だけ単一の短いコード（関数）を実行するのに適したサーバーレスサービスは何ですか？,Cloud Functions,Compute Engine,GKE,Cloud Storage,A,Cloud Functionsは、イベント駆動型の軽量なコード実行（FaaS: Function as a Service）に最適なサービスです。,【単元3：インフラストラクチャとアプリのモダナイゼーション】
135,ソフトウェアを、コードとそれを実行するために必要なライブラリや設定ファイルごとひとまとめにパッケージ化し、どの環境でも同じように動作させる技術を何と呼びますか？,仮想マシン (VM),ベアメタル,コンテナ,サーバーレス,C,コンテナ（Dockerなど）は、OSを丸ごと仮想化するVMよりも軽量で起動が速く、開発環境と本番環境の差異をなくすためモダンなアプリ開発の標準となっています。,【単元3：インフラストラクチャとアプリのモダナイゼーション】
136,オンプレミスのシステムをクラウドに移行する際、コードを大幅に書き直すのではなく、データベースをCloud SQLに置き換えるなど、一部をマネージドサービスに変更して最適化する手法は何ですか？,リホスト (リフト＆シフト),リプラットフォーム (Move and Improve),リファクタリング,リテイン (保持),B,リプラットフォームは、基本アーキテクチャを変えずに、クラウドの利点（管理の手間削減など）を得るために一部をマネージドサービスに置き換える手法です。,【単元3：インフラストラクチャとアプリのモダナイゼーション】
137,グローバルに展開するWebアプリにおいて、ユーザーからのアクセスを世界中の最も適切な（最も近い、または負荷の低い）サーバーに自動的に振り分けるサービスは何ですか？,Cloud CDN,Cloud DNS,Cloud Load Balancing,VPC,C,GoogleのCloud Load Balancingは、単一のグローバルIPアドレスを用いて、世界規模のトラフィックを瞬時に分散させることができます。,【単元3：インフラストラクチャとアプリのモダナイゼーション】
138,開発したアプリケーションのソースコードを管理・共有するための、Google Cloud上のプライベートなGitリポジトリサービスは何ですか？,Cloud Build,Cloud Source Repositories,Artifact Registry,Cloud Deploy,B,Cloud Source Repositoriesは、コードの安全な保管とバージョン管理を行うためのマネージドサービスです。,【単元3：インフラストラクチャとアプリのモダナイゼーション】
139,GKE (Google Kubernetes Engine) を Compute Engine (VM) よりも優先して選択すべきなのはどのようなケースですか？,単一の巨大なレガシーOS環境をそのまま動かしたい場合,マイクロサービスとして分割された数百のコンテナを、自動的にオーケストレーション（管理・運用）したい場合,物理サーバーに直接アクセスしてハードウェアを制御したい場合,データベースのライセンス上、仮想化レイヤーを排除したい場合,B,コンテナ化されたアプリが多数ある場合、それらの死活監視やオートスケールを自動化するKubernetes環境（GKE）が必須となります。,【単元3：インフラストラクチャとアプリのモダナイゼーション】
