No.,問題文,選択肢A,選択肢B,選択肢C,選択肢D,正解,解説,分野
57,プロジェクトを削除した場合の挙動として正しいものはどれですか？,削除操作後、即座かつ完全に復元不可能になる,シャットダウン期間（猶予期間）中であれば、プロジェクトとそのリソースを復元できる,プロジェクト ID は削除後に別のプロジェクトで再利用できる,請求先アカウントも自動的に削除される,B,プロジェクトを削除すると、約 30 日間のシャットダウン期間（猶予期間）に入ります。この期間中であればプロジェクトを復元できます。期間経過後はプロジェクト ID を含め完全に削除され、同じプロジェクト ID の再利用はできません。請求先アカウント自体は削除されません。,【クラウド ソリューション環境の設定】
58,Google Cloud の Admin Activity 監査ログに関する説明として正しいものはどれですか？,有効化しないと記録されない,設定変更などの管理操作が常に記録され、無料で Cloud Logging に送信される,Cloud Storage にのみ保存され、Cloud Logging では確認できない,90 日後に自動的にすべて削除される,B,Admin Activity 監査ログは、リソースの作成・変更・削除などの管理操作を記録し、常に有効（無効化不可）です。Cloud Logging に無料で送信され、保持期間の設定や BigQuery へのエクスポートも可能です。Data Access ログとは異なり、デフォルトで有効です。,【クラウド ソリューション環境の設定】
59,Cloud CLI でプロジェクト `my-project` に IAM バインディングを追加し、ユーザー `admin@example.com` に「オーナー（Owner）」ロールを付与するコマンドとして正しいものはどれですか？,`gcloud projects add-iam-policy-binding my-project --member=user:admin@example.com --role=roles/owner`,`gcloud iam roles create owner --project=my-project --member=admin@example.com`,`gcloud compute instances add-iam-policy-binding my-project --user=admin@example.com`,`gcloud billing accounts add-iam-policy-binding my-project --role=owner`,A,プロジェクトへの IAM ロール付与は `gcloud projects add-iam-policy-binding` コマンドで行います。`--member` にプリンシパル（`user:`、`group:`、`serviceAccount:` プレフィックス付き）、`--role` にロール名（`roles/owner` など）を指定します。,【クラウド ソリューション環境の設定】
60,組織の Google Cloud 環境全体を管理し、組織ポリシーの設定や組織リソースの管理が可能な IAM ロールはどれですか？,プロジェクト閲覧者（Project Viewer）,組織管理者（Organization Administrator）,Compute インスタンス管理者（Compute Instance Admin）,Storage オブジェクト閲覧者（Storage Object Viewer）,B,組織管理者（Organization Administrator）は、組織レベルの IAM ポリシー管理、組織ポリシーの設定、フォルダ/プロジェクトの管理、Essential Contacts の設定など、組織全体のガバナンス操作を行えるロールです。プロジェクト単位の操作だけが必要な場合は、より限定的なロールを付与します。,【クラウド ソリューション環境の設定】
61,オンプレミスの既存サーバーをほぼそのまま移行し、OS のカーネル設定やファイルシステムまで自ら管理したい場合、最も適切なコンピューティング サービスはどれですか？,Cloud Run,Cloud Functions,Compute Engine,App Engine 標準環境,C,Compute Engine は仮想マシン（IaaS）を提供し、OS 以上のレイヤーをユーザーが完全に制御できます。リフト＆シフトや特殊なミドルウェア要件がある場合に適しています。Cloud Run や Cloud Functions はインフラ抽象化が進んでおり、OS レベルのカスタマイズはできません。,【クラウド ソリューションの計画と構成】
62,コンテナ化した HTTP API をデプロイしたいが、Kubernetes クラスタのノード管理はしたくない。リクエストがないときはインスタンスを 0 にしたい場合、最も適切なサービスはどれですか？,Compute Engine,Cloud Run,Bare Metal Solution,Filestore,B,Cloud Run はフルマネージドのサーバーレス コンテナ実行環境です。コンテナをデプロイするだけで自動スケールし、トラフィックがないときはゼロスケールできます。Kubernetes の運用が必要な場合は Google Kubernetes Engine を選びます。,【クラウド ソリューションの計画と構成】
63,Cloud Storage へのオブジェクト作成をトリガーに、短時間の処理（画像のサムネイル生成など）を実行したい場合、最も適切なコンピューティング サービスはどれですか？,Cloud Functions,Bare Metal Solution,Cloud Interconnect,Cloud DNS,A,Cloud Functions はイベント駆動のサーバーレス関数実行環境です。Cloud Storage のオブジェクト変更、Pub/Sub メッセージ受信などをトリガーに、短い処理を実行するのに適しています。長時間稼働や複雑なコンテナ構成が必要な場合は Cloud Run や Google Kubernetes Engine を検討します。,【クラウド ソリューションの計画と構成】
64,複数コンテナからなるマイクロサービスを Kubernetes の標準機能（Deployment、Service、HPA など）で運用し、クラスタ構成も細かく制御したい場合、最も適切なサービスはどれですか？,Cloud Run,Cloud Functions,Google Kubernetes Engine,Cloud Scheduler,C,Google Kubernetes Engine（GKE）はマネージド Kubernetes です。ノードプール、ネットワーク、オートスケーリングなどを制御しつつ、Kubernetes API でワークロードを運用できます。単一コンテナの HTTP サービスなら Cloud Run の方が運用負荷は低くなります。,【クラウド ソリューションの計画と構成】
65,障害耐性のあるバッチ処理を、通常のオンデマンド VM より大幅に安い料金で実行したい。途中で強制停止されても再実行できる場合、Compute Engine で選ぶべきオプションはどれですか？,単一テナントノード,Spot VM,Shielded VM,コミットメント使用割引（CUD）のみ,B,Spot VM は余剰キャパシティを利用するため大幅に安価ですが、Google Cloud 側の需要によりいつでもプリエンプト（強制停止）される可能性があります。チェックポイント可能なバッチ処理やステートレスなワーカーに適します。常時稼働が必要な本番 Web サーバーには向きません。,【クラウド ソリューションの計画と構成】
66,事前定義のマシンタイプでは CPU とメモリの比率が合わず、vCPU 4、メモリ 6 GB のような構成にしたい場合、Compute Engine で使う機能はどれですか？,カスタム マシンタイプ,Cloud Functions のメモリ設定,Cloud Storage のストレージクラス,Network Service Tiers,A,カスタム マシンタイプは、vCPU 数とメモリ量を一定の制約内で自由に組み合わせられる Compute Engine の機能です。事前定義タイプ（n2-standard-4 など）では過剰なメモリや CPU が発生する場合に、コスト最適化のために使用します。,【クラウド ソリューションの計画と構成】
67,Spot VM の特徴として正しいものはどれですか？,SLA で 99.99% の稼働率が保証される,Google Cloud の需要に応じていつでもプリエンプトされる可能性がある,一度起動すると最低 24 時間は停止されない,外部 IP を付与できない,B,Spot VM は割引料金の代わりに、キャパシティ不足時に予告なく（または短い猶予の後に）停止される可能性があります。可用性 SLA はオンデマンド VM と同等には扱えません。ステートレス、再実行可能なワークロード向けです。,【クラウド ソリューションの計画と構成】
68,GPU を使った機械学習の学習ジョブや HPC ワークロードを実行したい場合、最も適したコンピューティング選択肢はどれですか？,Cloud Functions,Compute Engine（GPU 付き VM）,Cloud DNS,Cloud Billing,B,Compute Engine では NVIDIA GPU などを VM に接続して学習・推論・HPC を実行できます。Cloud Functions は短時間のイベント処理向けで GPU は使えません。マネージドな ML 基盤が必要な場合は Vertex AI も候補になりますが、ACE のコンピューティング選定では GPU 付き VM が典型解です。,【クラウド ソリューションの計画と構成】
69,トラフィックの増減が大きい Web アプリをコンテナで公開し、インフラ管理を最小限にしたい。Kubernetes の YAML 運用は不要である。この要件に最も合うサービスはどれですか？,Google Kubernetes Engine（Standard）,Cloud Run,Compute Engine の単一 VM,Bare Metal Solution,B,Cloud Run はコンテナをデプロイするだけで HTTPS エンドポイントが提供され、負荷に応じて自動スケールします。GKE Standard は柔軟性が高い反面、クラスタ運用が発生します。単一 VM はスケールと可用性の面で不利です。,【クラウド ソリューションの計画と構成】
70,「コードだけをデプロイし、HTTP リクエストや Cloud Events に応じて関数単位で実行する」モデルに最も近いサービスはどれですか？,Compute Engine,Cloud Functions,Filestore,Cloud Interconnect,B,Cloud Functions（第 2 世代は Cloud Run 基盤）は、関数単位のサーバーレス実行モデルです。コンテナ全体のライフサイクルを意識せず、イベントソースに接続して処理を実行できます。長時間処理やカスタムコンテナが中心なら Cloud Run を選びます。,【クラウド ソリューションの計画と構成】
71,予測可能な定常負荷の本番 VM を 1 年または 3 年利用する前提で、オンデマンド料金より大幅に割引したい場合に検討する料金オプションはどれですか？,Spot VM,確約利用割引（CUD）,Cloud Storage Archive,Network Service Tiers の Standard,B,確約利用割引（Committed Use Discounts）は、一定の vCPU・メモリなどを期間コミットすることで割引が適用されます。常時稼働の本番ワークロード向けです。中断可能なバッチには Spot VM、オブジェクトの長期保管には Cloud Storage のストレージクラスを使います。,【クラウド ソリューションの計画と構成】
72,既存の MySQL アプリケーションを最小限のコード変更でクラウドに移行し、パッチ適用やバックアップはマネージドに任せたい場合、最も適切なデータベースはどれですか？,Bigtable,BigQuery,Cloud SQL,Cloud Storage,C,Cloud SQL は MySQL、PostgreSQL、SQL Server のマネージド リレーショナル データベースです。既存アプリのリフトに適します。グローバルな強整合性と水平スケールが必要なら Spanner、分析なら BigQuery、ワイドカラムの低レイテンシなら Bigtable を選びます。,【クラウド ソリューションの計画と構成】
73,ペタバイト規模のログやトランザクション履歴を標準 SQL で分析し、インフラ管理なしでクエリしたい場合、最も適切なサービスはどれですか？,Cloud SQL,Firestore,BigQuery,Persistent Disk,C,BigQuery はサーバーレスのデータ ウェアハウスです。ストレージとコンピューティングが分離され、大規模データに対する SQL 分析に適しています。OLTP（高頻度の行単位更新）には Cloud SQL や Spanner、ドキュメント指向のモバイル同期には Firestore が向きます。,【クラウド ソリューションの計画と構成】
74,モバイルアプリ向けに、ドキュメント単位の同期とリアルタイム更新が必要で、スキーマレスに近いデータモデルを使いたい場合、最も適切なデータベースはどれですか？,Cloud SQL,Firestore,BigQuery,Filestore,B,Firestore はドキュメント指向の NoSQL データベースで、リアルタイム リスナーやモバイル/Web SDK との親和性が高いです。厳密なリレーショナル制約や複雑な JOIN が中心なら Cloud SQL、分析なら BigQuery を選びます。,【クラウド ソリューションの計画と構成】
75,IoT から毎秒数百万件の時系列データを取り込み、キー指定の超低レイテンシ読み取りが必要である。分析用 SQL は主用途ではない。最も適切なデータベースはどれですか？,Cloud SQL,Bigtable,Firestore,Cloud DNS,B,Bigtable はワイドカラム型の NoSQL で、大規模な時系列・IoT・アドテクなどの高スループット、低レイテンシ アクセスに適します。SQL 分析が主目的なら BigQuery、トランザクションとリレーショナルモデルなら Cloud SQL または Spanner です。,【クラウド ソリューションの計画と構成】
76,グローバルに分散するアプリケーションで、リレーショナルモデルと強整合性、水平スケールを同時に満たしたい場合、最も適切なデータベースはどれですか？,Cloud SQL,Spanner,Cloud Storage,Persistent Disk,B,Spanner はグローバル分散の強整合リレーショナル データベースです。Cloud SQL はリージョン内のマネージド RDB として優秀ですが、グローバル水平スケールと強整合の両立は Spanner の領域です。オブジェクト保存は Cloud Storage、VM のブロックディスクは Persistent Disk です。,【クラウド ソリューションの計画と構成】
77,頻繁にアクセスする静的コンテンツとユーザーアップロードを保存する。最低コストのコールド保管ではなく、低レイテンシの読み取りが必要である。Cloud Storage で選ぶべきストレージクラスはどれですか？,Archive,Coldline,Standard,Nearline,C,Standard は頻繁にアクセスするデータ向けで、保存単価は高めですが取り出しコストが低く、低レイテンシに適します。Nearline（月 1 回程度）、Coldline（四半期に 1 回程度）、Archive（年 1 回未満）は保存単価が下がる一方、取り出しコストと最短保管期間の制約があります。,【クラウド ソリューションの計画と構成】
78,Compute Engine のブートディスクとして使い、ゾーン障害時にも別ゾーンの VM へディスクをフェイルオーバーしたい場合、選ぶべき Persistent Disk の構成はどれですか？,ゾーン Persistent Disk,リージョン Persistent Disk,Cloud Storage Archive,Local SSD のみ,B,リージョン Persistent Disk は同一リージョン内の 2 ゾーンに同期レプリケーションされます。ゾーン障害時に他ゾーンの VM へアタッチして復旧できます。ゾーン Persistent Disk は単一ゾーン内の冗長化です。Local SSD はホストに紐づき、VM 停止・移行でデータが失われる可能性があります。,【クラウド ソリューションの計画と構成】
79,インターネットからの HTTPS トラフィックを複数リージョンのバックエンドへ分散し、グローバルなエニーキャスト IP を使いたい場合、計画すべきロードバランサの種類はどれですか？,内部 TCP/UDP ロードバランサのみ,外部 Application Load Balancer（グローバル HTTP(S)）,Cloud NAT のみ,Cloud VPN,B,外部 Application Load Balancer（グローバル HTTP(S) ロードバランシング）は、単一のエニーキャスト IP で世界中のユーザーを最寄りの Google フロントエンドへ誘導し、バックエンド（MIG、GKE、Cloud Run など）へ分散します。内部 LB は VPC 内部向け、Cloud NAT は下り（外向き）の変換、Cloud VPN は拠点間接続です。,【クラウド ソリューションの計画と構成】
80,インターネット経由の下り（外向き）通信で、Google のグローバル バックボーンを優先して低レイテンシを狙う Network Service Tiers の選択として正しいものはどれですか？,Standard Tier,Premium Tier,Archive Tier,Coldline Tier,B,Network Service Tiers の Premium Tier は、トラフィックをできるだけ早く Google のプライベート バックボーンに乗せるため、グローバルな性能と可用性に優れます。Standard Tier は公衆インターネット寄りの経路でコストを抑えられます。Archive / Coldline は Cloud Storage のストレージクラスであり、ネットワーク階層ではありません。,【クラウド ソリューションの計画と構成】
81,月に 1 回程度しかアクセスしないバックアップデータを、Standard より安く保管したい。最短保管期間の制約を理解したうえで選ぶ Cloud Storage ストレージクラスはどれですか？,Standard,Nearline,Archive,Persistent Disk,B,Nearline は月 1 回程度のアクセス向けで、Standard より保存単価が低くなります。Archive は年 1 回未満、Coldline は四半期に 1 回程度が目安です。各クラスには最短保管期間があり、早期削除すると追加料金が発生する場合があります。,【クラウド ソリューションの計画と構成】
82,四半期に 1 回程度しか参照しない監査ログを、さらに低コストで長期保管したい場合、最も適切な Cloud Storage ストレージクラスはどれですか？,Standard,Nearline,Coldline,リージョン Persistent Disk,C,Coldline は数か月に 1 回程度のアクセス向けの低コスト ストレージクラスです。Standard / Nearline より保存単価は低い一方、取り出し（操作）コストと最短保管期間の制約があります。頻繁な読み取りが必要なデータには向きません。,【クラウド ソリューションの計画と構成】
83,年 1 回未満のアクセスで、7 年以上の長期アーカイブを最も安価に保存したい場合、選ぶべき Cloud Storage ストレージクラスはどれですか？,Nearline,Coldline,Archive,Standard,C,Archive は Google Cloud で最も保存単価が低いストレージクラスで、年 1 回未満のアクセスを想定した長期保管向けです。取り出し自体はオンラインで行えますが、取り出し料金と最短保存期間を考慮する必要があります。規制対応のアーカイブや災害復旧用のコールド バックアップに使われます。,【クラウド ソリューションの計画と構成】
84,複数の Compute Engine VM から同一の NFS 共有ディレクトリに同時読み書きしたい。POSIX 互換の共有ファイルシステムが必要である。この要件に最も適したストレージはどれですか？,Cloud Storage,Filestore,BigQuery,Persistent Disk（単一 VM 専用）,B,Filestore はマネージド NFS です。複数 VM や GKE Pod から同時マウントして POSIX 互換のファイル共有ができます。Cloud Storage はオブジェクト ストレージ、Persistent Disk は通常 1 VM（または読み取り専用マルチマウント）向けのブロックストレージです。,【クラウド ソリューションの計画と構成】
85,高トラフィックの PostgreSQL ワークロードを、Cloud SQL より高い性能と PostgreSQL 互換性で運用したい場合、検討すべきデータベース サービスはどれですか？,Firestore,AlloyDB for PostgreSQL,Bigtable,Cloud DNS,B,AlloyDB for PostgreSQL は PostgreSQL 互換のマネージド データベースで、Cloud SQL for PostgreSQL より高い性能を狙えます。一般的な MySQL/PostgreSQL 移行なら Cloud SQL、分析なら BigQuery、ドキュメント DB なら Firestore を選びます。,【クラウド ソリューションの計画と構成】
86,VPC 内の複数サービス間で HTTP/HTTPS 通信をロードバランシングし、インターネットには公開しない場合、計画すべきロードバランサはどれですか？,外部 Application Load Balancer,内部 Application Load Balancer,Cloud CDN,Cloud NAT,B,内部 Application Load Balancer は VPC 内部向けの HTTP(S) ロードバランシングです。プライベート IP でバックエンド（GCE、GKE など）へトラフィックを分散します。外部 ALB はインターネット公開向け、Cloud NAT は下り通信の SNAT、Cloud CDN はコンテンツ配信です。,【クラウド ソリューションの計画と構成】
87,非 HTTP の TCP/UDP トラフィック（例: カスタム プロトコル）を低レイテンシで分散し、クライアント IP を保持したい場合、最も適切なロードバランサはどれですか？,外部 Application Load Balancer,外部 Network Load Balancer（TCP/UDP）,Cloud DNS,Cloud Armor,B,外部 Network Load Balancer はレイヤ 4（TCP/UDP）で動作し、パススルー型のためクライアント IP を保持したままバックエンドへ転送できます。Application Load Balancer はレイヤ 7（HTTP/HTTPS）向けです。,【クラウド ソリューションの計画と構成】
88,Google Cloud リソースの可用性において、「リージョン内の複数ゾーンにまたがって配置する」主な目的として正しいものはどれですか？,請求先アカウントを分散するため,単一ゾーン障害時にもサービスを継続するため,組織ポリシーを無効化するため,API キーのローテーションを自動化するため,B,Google Cloud のリージョンは複数のアベイラビリティ ゾーン（データセンター）で構成されます。VM、GKE ノード、リージョン Persistent Disk などを複数ゾーンに分散することで、単一ゾーン障害に対する耐障害性を高められます。リージョン全体の障害には別リージョンの DR が必要です。,【クラウド ソリューションの計画と構成】
89,世界中のユーザー向け Web コンテンツを、オリジン（Cloud Storage や LB バックエンド）に近いエッジから配信してレイテンシを下げたい場合、計画に組み込むべきサービスはどれですか？,Cloud CDN,Cloud VPN,Cloud NAT,Private Service Connect,A,Cloud CDN は Google のエッジ ロケーションで静的/動的コンテンツをキャッシュ配信し、オリジンへのリクエスト数とユーザー体感レイテンシを削減します。通常、外部 Application Load Balancer や Cloud Storage バケットと組み合わせて構成します。,【クラウド ソリューションの計画と構成】
90,コードとランタイムの管理を Google に任せ、自動スケールする Web アプリケーションを PaaS として運用したい。OS パッチ適用もマネージドにしたい場合、検討すべきサービスはどれですか？,Compute Engine,App Engine,Bare Metal Solution,Filestore,B,App Engine は PaaS で、アプリケーション コードのデプロイに集中でき、インフラとランタイムの管理は Google が担当します。OS レベルの完全制御が必要なら Compute Engine、コンテナ中心なら Cloud Run や GKE を選びます。,【クラウド ソリューションの計画と構成】
91,Kubernetes の運用負荷を最小化し、ノード管理やセキュリティ設定を Google に任せたい場合、GKE のどのモードを選ぶべきですか？,GKE Standard,GKE Autopilot,Cloud Functions,Cloud Scheduler,B,GKE Autopilot はノードのプロビジョニング、スケーリング、セキュリティ ハードニングを Google が管理するモードです。Standard はノードプールやネットワークをより細かく制御できますが、運用負荷は高くなります。,【クラウド ソリューションの計画と構成】
92,Cloud Storage バケットで、広域的な地理冗長性を必要とするが、データを配置する 2 つのリージョンを個別に指定する要件はない場合、選ぶべきロケーション タイプはどれですか？,リージョン（単一リージョン）,デュアルリージョン,マルチリージョン,ゾーン,C,マルチリージョン バケットは、広い地理的エリア内で複数のリージョンにデータを冗長化し、広域的な可用性と耐久性を提供します。配置先を明示的に指定した 2 つのリージョンに限定する必要がある場合は、デュアルリージョンを選択します。単一リージョンはコストを抑えられる一方、リージョン障害の影響を受けます。,【クラウド ソリューションの計画と構成】
93,本番データベース用の Persistent Disk で、一般的な OLTP ワークロードにバランスの取れた性能とコストを求める場合、デフォルトで検討すべきディスク タイプはどれですか？,Standard Persistent Disk,Balanced Persistent Disk,Cloud Storage Archive,Local SSD のみ,B,Balanced Persistent Disk は、Standard と SSD の中間的な性能/コスト バランスを提供し、多くの一般ワークロードのデフォルト選択肢です。極めて高い IOPS が必要なら SSD または Extreme Persistent Disk、最低コストなら Standard を検討します。,【クラウド ソリューションの計画と構成】
94,Cloud SQL for PostgreSQL の本番環境で、ゾーン障害時に自動フェイルオーバーする高可用性構成を計画する場合、選ぶべき構成はどれですか？,シングル ゾーン インスタンス,リージョン（高可用性）構成,Cloud Storage Nearline バケット,Cloud DNS のプライベート ゾーン,B,Cloud SQL の高可用性（HA）構成では、プライマリとスタンバイが別ゾーンに配置され、ゾーン障害時に自動フェイルオーバーします。シングル ゾーンは開発/検証向けで、本番の SLA 要件には通常不十分です。,【クラウド ソリューションの計画と構成】
95,マイクロサービス間の非同期メッセージング基盤として、イベントの配信と複数サブスクライバーへのファンアウトが必要な場合、計画すべきデータ サービスはどれですか？,Cloud SQL,Pub/Sub,BigQuery,Filestore,B,Pub/Sub はフルマネージドのメッセージング サービスで、発行者と複数のサブスクライバーを疎結合にします。イベント駆動アーキテクチャ、ログ取り込み、Cloud Functions / Cloud Run との連携に適しています。リレーショナル永続化には Cloud SQL、分析には BigQuery を使います。,【クラウド ソリューションの計画と構成】
96,下り（外向き）通信のコストを最優先で抑え、Premium Tier の性能よりも料金を優先したい場合、Network Service Tiers の選択として正しいものはどれですか？,Premium Tier,Standard Tier,Archive Tier,Nearline Tier,B,Standard Tier は公衆インターネットを経由する部分が増えるため Premium よりコストを抑えられます。グローバルな低レイテンシや Google バックボーン優先が必要な本番 Web サービスには Premium Tier が適します。Archive / Nearline はストレージクラスです。,【クラウド ソリューションの計画と構成】
97,Oracle Database など、仮想化が難しいレガシー ワークロードを専用物理サーバーで実行する必要がある場合、検討すべき Compute サービスはどれですか？,Cloud Run,Bare Metal Solution,Cloud Functions,App Engine 標準環境,B,Bare Metal Solution は認定ハードウェア上の物理サーバーを提供し、仮想化レイヤーなしで特殊なライセンス要件やレガシー DB を実行できます。一般的な VM 運用なら Compute Engine、コンテナなら GKE / Cloud Run です。,【クラウド ソリューションの計画と構成】
98,バッチ分析や ETL 処理に Apache Spark/Hadoop クラスタを短期間だけ起動したい場合、計画すべきデータ サービスはどれですか？,Cloud SQL,Dataproc,Cloud DNS,Identity-Aware Proxy,B,Dataproc はマネージドの Spark/Hadoop クラスタ サービスです。必要なときだけクラスタを起動し、バッチ処理後に停止することでコストを最適化できます。常時稼働の SQL 分析基盤なら BigQuery、ストリーム処理なら Dataflow を検討します。,【クラウド ソリューションの計画と構成】
99,外部 Application Load Balancer の前段で DDoS 防御や WAF（Web Application Firewall）ルールを適用したい場合、組み合わせるべきサービスはどれですか？,Cloud Armor,Cloud NAT,Cloud Router,Service Directory,A,Cloud Armor は外部 Application Load Balancer と統合し、IP 許可/拒否リスト、レート制限、OWASP ベースの WAF ルールなどを適用できます。Cloud NAT は下り通信の SNAT、Cloud Router は BGP/Cloud Interconnect 向けです。,【クラウド ソリューションの計画と構成】
100,Cloud Run と Google Kubernetes Engine の計画上の違いとして、最も適切な説明はどれですか？,Cloud Run は Kubernetes API を直接使用し、GKE は使用しない,Cloud Run は単一コンテナの HTTP サービスを最小運用で公開するのに適し、GKE は複数コンテナと Kubernetes エコシステムのフル制御が必要な場合に適する,GKE はサーバーレスでゼロスケールのみ、Cloud Run は常時 VM を維持する,両者とも OS パッチをユーザーが直接管理する,B,Cloud Run はコンテナ イメージをデプロイするだけで HTTPS 公開と自動スケール（ゼロスケール含む）が可能なサーバーレス実行環境です。GKE は Kubernetes の全機能（複数 Deployment、Service Mesh、カスタム CRD など）とクラスタ運用の柔軟性を提供します。要件の複雑さと運用許容度で選びます。,【クラウド ソリューションの計画と構成】
101,リアルタイムのストリーム データ（Pub/Sub からのイベント）を Apache Beam で処理し、BigQuery や Cloud Storage に出力したい場合、計画すべきデータ サービスはどれですか？,Cloud SQL,Dataflow,Cloud DNS,Filestore,B,Dataflow はマネージドのストリーム/バッチ処理サービスで、Apache Beam モデルに基づき Pub/Sub、BigQuery、Cloud Storage などと連携します。バッチ中心の Spark 処理なら Dataproc、常時 SQL 分析なら BigQuery を選びます。,【クラウド ソリューションの計画と構成】
102,Airflow DAG ベースで複数のデータ パイプラインをスケジュール実行・依存管理したい場合、計画すべきオーケストレーション サービスはどれですか？,Cloud Composer,Cloud Tasks,Cloud NAT,Cloud Armor,A,Cloud Composer はマネージド Apache Airflow です。DAG 定義でタスクの依存関係、スケジュール、再試行を管理し、BigQuery、Dataproc、Cloud Storage などとの連携パイプラインを構築できます。単発の HTTP タスクキューなら Cloud Tasks を検討します。,【クラウド ソリューションの計画と構成】
103,規制要件により、Cloud Storage データを 2 つの特定リージョンに冗長化しつつ、マルチリージョンより配置を制御したい場合、選ぶべきバケット ロケーション タイプはどれですか？,リージョン（単一）,デュアルリージョン,マルチリージョン,ゾーン,B,デュアルリージョン バケットは、指定した 2 つのリージョン間でデータを地理的冗長化します。マルチリージョンより配置リージョンを制御しやすく、DR とデータレジデンシーのバランスを取れます。単一リージョンは最も低コストですが冗長性はリージョン内に限定されます。,【クラウド ソリューションの計画と構成】
104,一時的なキャッシュや scratch 領域として、極めて低レイテンシのローカル ディスク性能が必要だが、永続性は不要である。この用途に最適な Compute Engine ストレージはどれですか？,リージョン Persistent Disk,Local SSD,Cloud Storage Archive,Filestore,B,Local SSD は VM が稼働する物理ホストに直接接続された超低レイテンシ ストレージです。VM の停止・プリエンプト・移動時にデータが失われる可能性があるため、一時データやキャッシュ向けです。永続データには Persistent Disk や Cloud Storage を使います。,【クラウド ソリューションの計画と構成】
105,高 IOPS のデータベース ワークロード向けに、Balanced Persistent Disk よりさらに高いディスク性能が必要な場合、選ぶべき Persistent Disk タイプはどれですか？,Standard Persistent Disk,SSD Persistent Disk,Cloud Storage Nearline,Cloud DNS プライベート ゾーン,B,SSD Persistent Disk（および Extreme Persistent Disk）は、Standard や Balanced より高い IOPS とスループットを提供します。大規模 OLTP や I/O 集約型アプリケーション向けです。コスト最優先なら Standard、バランス重視なら Balanced を選びます。,【クラウド ソリューションの計画と構成】
106,複数のプロジェクトで共通の VPC ネットワーク（サブネット、ファイアウォール）を共有し、ネットワーク管理を中央集約したい場合、計画すべき VPC 構成はどれですか？,各プロジェクトが独自の VPC を作成する,共有 VPC（Shared VPC）,Cloud CDN のみを有効化する,Cloud Billing の予算を設定する,B,共有 VPC（Shared VPC）では、ホスト プロジェクトが VPC ネットワークを管理し、サービス プロジェクトのリソース（VM、GKE など）がそのネットワークを利用します。大規模組織でのネットワーク統制と IP アドレス管理の一元化に適しています。,【クラウド ソリューションの計画と構成】
107,VPC 内部の TCP/UDP サービス（非 HTTP）を、プライベート IP で複数バックエンドに分散したい場合、計画すべきロードバランサはどれですか？,内部 TCP/UDP ロードバランサ,外部 Application Load Balancer,Cloud CDN,Cloud DNS のみ,A,内部 TCP/UDP ロードバランサは VPC 内のレイヤ 4 トラフィックをプライベート IP で分散します。内部 Application Load Balancer は HTTP(S) 向け、外部 ALB はインターネット公開向けです。,【クラウド ソリューションの計画と構成】
108,単一リージョン内のユーザーのみが利用する Web アプリで、グローバル エニーキャスト IP は不要である。リージョン内の HTTP(S) 負荷分散で十分な場合、選ぶべきロードバランサはどれですか？,グローバル外部 Application Load Balancer,リージョン外部 Application Load Balancer,Cloud NAT,Cloud VPN,B,リージョン外部 Application Load Balancer は、単一リージョン内の HTTP(S) トラフィック分散向けです。グローバル ALB は複数リージョンへの分散とエニーキャスト IP が必要な場合に選びます。コストと要件のバランスで使い分けます。,【クラウド ソリューションの計画と構成】
109,外部 IP を持たない VM から、Google API（Cloud Storage、BigQuery など）にプライベート経路でアクセスしたい場合、VPC で有効化すべき機能はどれですか？,Private Google Access,Cloud CDN,Cloud Armor,Binary Authorization,A,Private Google Access を有効にすると、VPC 内の VM が外部 IP なしで Google API とサービス（`private.googleapis.com` 等の特殊ルート経由）にアクセスできます。セキュリティ強化のため、内部 VM から Google サービスへ直接インターネットを経由しない構成に使います。,【クラウド ソリューションの計画と構成】
110,GKE クラスタのコントロール プレーンとノードを、単一ゾーン障害に耐えるよう複数ゾーンに分散したい場合、計画すべきクラスタ タイプはどれですか？,ゾーン クラスタ（単一ゾーン）,リージョン クラスタ（Regional cluster）,Cloud Functions,Cloud Scheduler のみ,B,リージョン クラスタ（Regional cluster）は、コントロール プレーン レプリカとノードをリージョン内の複数ゾーンに分散します。ゾーン クラスタは単一ゾーンに限定され、可用性は低くなります。本番環境ではリージョン クラスタが推奨されます。,【クラウド ソリューションの計画と構成】
111,オンプレミス データセンターと Google Cloud 間で、専用回線による低レイテンシ・高帯域のプライベート接続が必要な場合、計画すべきネットワーク サービスはどれですか？,Cloud VPN（インターネット経由）,Cloud Interconnect（専用接続 / パートナー接続）,Cloud CDN,Cloud DNS,B,Cloud Interconnect は、オンプレミスと Google Cloud を専用回線（Dedicated Interconnect）またはサービス プロバイダ経由（Partner Interconnect）で接続します。Cloud VPN はインターネット上の暗号化トンネルで、セットアップは容易ですが帯域と SLA は Interconnect より劣る場合があります。,【クラウド ソリューションの計画と構成】
112,オンプレミスと Google Cloud を、比較的短期間・低コストで暗号化接続したい。専用回線の調達は不要である。この要件に最も適した接続方式はどれですか？,Cloud Interconnect,Cloud VPN,Cloud CDN,Media CDN,B,Cloud VPN は IPsec トンネルでオンプレミスと VPC を接続するサイト間 VPN です。専用回線不要で比較的迅速に構築できます。大規模・低レイテンシ・高 SLA が必要なら Cloud Interconnect を選びます。,【クラウド ソリューションの計画と構成】
