No.,問題文,選択肢A,選択肢B,選択肢C,選択肢D,正解,解説,分野
73,ユーザーが悪意ある指示を入力して、システムプロンプトの無視や機密情報の開示をモデルに促そうとする攻撃は何ですか？,プロンプト インジェクション,DDoS 攻撃,デフラグメンテーション,データ重複排除,A,プロンプト インジェクション対策として、信頼境界を明確にし、ユーザー入力を命令として無条件に信頼しないこと、ツール呼び出しの権限を制限すること、出力を検証することが重要です。,【Google Cloud の生成 AI サービス】
74,生成 AI アプリケーションが顧客の個人情報を扱う場合に、設計段階から優先すべき原則はどれですか？,必要なデータだけを収集・利用し、アクセス制御と保護を組み込む,将来必要になる可能性があるため、取得できる個人情報をすべて保存する,個人情報をプロンプトとログに必ず平文で複製する,生成 AI を使うため、同意や法令を考慮しない,A,データ最小化、目的に応じた利用、適切な同意、最小権限、暗号化、保持期間の管理は、生成 AI を含むシステムでプライバシーを保護する基本です。,【Google Cloud の生成 AI サービス】
75,大量の社内 PDF、画像、フォームからテキストや項目を抽出し、その結果を生成 AI による要約や質問応答に活用したい場合、文書解析に適したサービスは何ですか？,Document AI,Cloud Load Balancing,Cloud NAT,Cloud Scheduler,A,Document AI は文書からテキスト、表、フォーム項目などを抽出・構造化します。抽出結果を Vertex AI と組み合わせることで、文書の要約や検索拡張生成の品質向上に役立ちます。,【Google Cloud の生成 AI サービス】
76,生成 AI アプリケーションでユーザーの質問、モデル応答、レイテンシ、エラーなどを記録・分析し、運用上の問題を調査するために適したサービスは何ですか？,Cloud Logging,Cloud Storage,Cloud VPN,Cloud DNS,A,Cloud Logging を用いると、アプリケーションのログを集約して検索・分析できます。ただし、プロンプトや応答に機密情報が含まれる可能性があるため、記録内容、マスキング、アクセス権、保持期間を慎重に設計します。,【Google Cloud の生成 AI サービス】
77,生成 AI モデルの品質を本番リリース前に評価する際、最も適切な方法はどれですか？,1件の成功例だけを確認してリリースする,実際のユースケースを代表する評価データで、正確性、安全性、形式、レイテンシなどを測定する,モデル名だけで性能を判断する,評価なしで全ユーザーに公開する,B,生成 AI の評価では、代表的な入力、エッジケース、不適切な入力を含む評価セットを準備し、要件に応じた指標と人によるレビューを組み合わせます。本番後も継続して監視・改善します。,【Google Cloud の生成 AI サービス】
78,生成 AI の回答に人間の担当者による確認・承認を組み込むことが特に重要なユースケースはどれですか？,医療診断や融資判断など、誤りが人の権利・安全・健康に大きな影響を与え得る用途,色名を五十音順に並べるだけの用途,アクセスのない静的ファイルの保管,VPC のIPアドレス範囲の設定,A,高リスクな意思決定では、生成 AI を人間の判断を補助する仕組みとして位置付け、説明可能性、監査、エスカレーション、最終判断者を明確にすることが重要です。,【Google Cloud の生成 AI サービス】
79,生成 AI を利用して、複数言語の顧客問い合わせを要約し、担当者向けの回答案を作成する仕組みがもたらす代表的なビジネス価値は何ですか？,担当者の確認を不要にし、すべての回答責任をモデルに移すこと,定型作業を支援して担当者の生産性を高め、より複雑な顧客対応に時間を充てられるようにすること,顧客データのアクセス制御を不要にすること,すべての問い合わせを同一の定型文で返信すること,B,生成 AI は要約、下書き、分類、検索支援などを通じて従業員を支援できます。顧客対応では、根拠情報の参照、品質確認、適切なエスカレーションを組み込むことが重要です。,【Google Cloud の生成 AI サービス】
80,生成 AI アプリケーションで、モデルが外部システムの検索や注文処理などのツールを呼び出す設計を採用する場合、最も重要なセキュリティ原則はどれですか？,モデル出力を検証せず、すべてのツール操作を管理者権限で実行する,ツールごとに最小権限を付与し、許可された操作・入力を検証して、重要な処理には承認を設ける,ツールの実行ログを残さない,ユーザー入力をそのままデータベース操作として実行する,B,モデルの出力は信頼できない入力として扱う必要があります。IAM による最小権限、許可リスト、入力検証、監査ログ、人による承認を組み合わせ、意図しない操作やプロンプト インジェクションの影響を抑えます。,【Google Cloud の生成 AI サービス】
81,テキストや画像などの意味的な特徴を数値ベクトルとして表現し、意味の近さに基づく検索に利用するものは何ですか？,エンベディング,ファイアウォール ルール,スナップショット,DNS レコード,A,エンベディングは、データの意味や特徴を高次元の数値ベクトルで表現します。RAG では、質問と文書チャンクのエンベディングを比較することで、キーワードが完全一致しなくても関連文書を検索できます。,【Google Cloud の生成 AI サービス】
82,RAG において、文書をベクトル化して格納し、質問と意味的に近い文書チャンクを高速に取得するための検索を何と呼びますか？,ベクトル検索,フルバックアップ,ブルーグリーン デプロイ,リージョン間レプリケーション,A,ベクトル検索は、エンベディング間の類似度を利用して関連情報を取得します。取得した文書チャンクをプロンプトのコンテキストに含めることで、生成 AI の回答を組織固有の知識にグラウンディングできます。,【Google Cloud の生成 AI サービス】
83,RAG 用に長い社内マニュアルを準備する際、文書を適切な大きさの意味のある単位に分割する処理を何と呼びますか？,チャンキング,オートスケーリング,トークン化された課金の停止,ロードバランシング,A,チャンキングでは、見出しや段落などの文脈を保ちながら文書を分割します。チャンクが大きすぎると検索精度やコンテキスト消費に影響し、小さすぎると必要な前後関係が失われるため、用途に応じた設計が必要です。,【Google Cloud の生成 AI サービス】
84,大規模言語モデルにおける「コンテキスト ウィンドウ」とは何ですか？,1回のリクエストでモデルが参照・処理できる入力と出力のトークン量の上限,Webブラウザで開ける画面数の上限,VM に接続できるユーザー数の上限,Cloud Storage バケットの数,A,コンテキスト ウィンドウには、システム指示、ユーザープロンプト、RAG で取得した情報、モデル出力が含まれます。長大な文書を無制限に渡せるわけではないため、検索・要約・チャンキングを適切に設計します。,【Google Cloud の生成 AI サービス】
85,生成 AI のリクエストおよびレスポンスに含まれるテキストの処理単位で、入力長・出力長や料金の見積もりに用いられるものは何ですか？,トークン,ゾーン,ポート,バケット,A,トークンは文字、単語、またはその一部を表す処理単位です。不要に長いプロンプトや出力を抑え、用途に見合うモデルを選ぶことは、レイテンシとコストの最適化に役立ちます。,【Google Cloud の生成 AI サービス】
86,生成 AI モデルの出力の多様性やランダム性を調整する代表的なパラメータは何ですか？,Temperature,RPO,CIDR,TTL,A,Temperature を低くすると一般に出力はより決定的・一貫的になり、高くすると多様性や創造性が増す傾向があります。要約や抽出では低め、アイデア出しでは用途に応じて高めを評価しながら選択します。,【Google Cloud の生成 AI サービス】
87,同じプロンプトに対して同じモデルでも回答が異なることがある主な理由として最も適切なものはどれですか？,生成処理には確率的な要素があり、Temperature などの生成パラメータが出力に影響するため,Cloud Storage がすべてのプロンプトを書き換えるため,IAM が毎回プロンプトの言語を変換するため,生成 AI はネットワークに接続できないため,A,生成 AI の出力には非決定性があります。再現性や一貫性が重要な業務では、生成パラメータを制御し、出力形式を明示し、テストケースによる継続的な評価を行います。,【Google Cloud の生成 AI サービス】
88,生成 AI アプリケーションが、モデルの回答を社内ナレッジに基づくものとして扱う際に、「回答の根拠となった文書へのリンクや引用」を表示する主な利点は何ですか？,利用者が根拠を確認でき、回答の検証・信頼性判断をしやすくなる,モデル出力が必ず100%正確になる,アクセス制御が不要になる,すべての文書を一般公開できる,A,引用や参照元の提示は、グラウンディングの透明性を高めます。ただし、参照先自体のアクセス権を尊重し、機密情報や権限のない文書を利用者に示さない設計が必要です。,【Google Cloud の生成 AI サービス】
89,生成 AI に、在庫照会や配送状況取得などの外部 API を必要に応じて呼び出させ、その結果を使って回答させる機能は何と呼ばれますか？,Function calling（関数呼び出し）,オブジェクト バージョニング,ディスク スナップショット,ルーティング,A,Function calling では、モデルがツールの実行に必要な構造化された引数を生成し、アプリケーションが実際の API 呼び出しを制御します。モデルに直接権限を与えるのではなく、呼び出しの許可・検証・監査をアプリケーション側で行います。,【Google Cloud の生成 AI サービス】
90,生成 AI を用いたエージェントの説明として最も適切なものはどれですか？,目標に応じてモデルが推論し、必要に応じて検索や API などのツールを利用して複数ステップのタスクを実行する仕組み,常に同じ固定文だけを返す静的なWebページ,仮想マシンの物理CPUを管理する機能,データを暗号化するためだけの鍵,A,エージェントは、生成 AI の会話能力に加え、情報検索や外部ツールの利用を組み合わせてタスクを進めます。誤った操作を防ぐため、ツールの権限、実行範囲、監視、人による承認を設計する必要があります。,【Google Cloud の生成 AI サービス】
91,顧客対応用の生成 AI エージェントが、返金処理などの不可逆で重要な操作を実行する前に採用すべき設計はどれですか？,操作内容を利用者または担当者に確認・承認させる仕組みを設ける,モデルが提案した操作を常に即時実行する,返金 API に無制限の管理者権限を付与する,実行履歴を保存しない,A,高い影響を持つ操作では Human-in-the-loop（人による確認）を設けます。加えて、最小権限、入力検証、上限額などの業務ルール、監査ログを組み合わせることが重要です。,【Google Cloud の生成 AI サービス】
92,開発チームが生成 AI アプリケーションのプロンプトを変更した際、品質低下や安全性の問題を早期に検出する最も適切な運用はどれですか？,バージョン管理した評価セットで変更前後を比較し、定義した基準を満たすことを確認する,変更内容を記録せず、すぐに本番へ反映する,成功した1つの応答だけを目視確認する,プロンプトを一度作成したら変更を禁止する,A,プロンプトもアプリケーションの重要な構成要素です。代表的な質問、失敗例、安全性テストを含む評価セットを用い、回帰テストと承認プロセスを実施することで、変更による意図しない影響を抑えられます。,【Google Cloud の生成 AI サービス】
93,生成 AI アプリケーションで、モデルやプロンプトの品質ではなく、ユーザー体験上の応答速度を評価する際に重要な指標は何ですか？,レイテンシ,データ保持期間,バケット名,IAM ロール数,A,レイテンシは、ユーザーがリクエストを送信してから応答を受け取るまでの時間です。モデル選択、プロンプトと出力のトークン量、RAG の検索処理、アプリケーション設計がレイテンシに影響します。,【Google Cloud の生成 AI サービス】
94,大量の商品の説明文を一度に要約するなど、即時応答が不要な生成 AI 処理のコストと運用効率を改善するアプローチとして適切なものはどれですか？,リクエストをまとめて非同期のバッチ処理として実行する,すべての処理を管理者が手作業で実行する,各商品の処理ごとに新しいプロジェクトを作成する,プロンプトの長さを無制限に増やす,A,即時性が不要な大量処理にはバッチ処理が適しています。対話型処理と分離することで、スループット、コスト、リソース使用量を要件に応じて最適化できます。,【Google Cloud の生成 AI サービス】
95,生成 AI アプリケーションで、急増するアクセスに対応しながら API バックエンドを運用したい場合、コンテナ化したアプリケーションを自動スケールで実行できるサービスは何ですか？,Cloud Run,Cloud Storage,Cloud DNS,Cloud KMS,A,Cloud Run はコンテナ化されたアプリケーションをフルマネージドで実行し、トラフィックに応じてスケールできます。アプリケーションから Vertex AI を呼び出す API バックエンドの実行環境として利用できます。,【Google Cloud の生成 AI サービス】
96,生成 AI アプリケーションの API キーや外部サービスの認証情報をソースコードやプロンプトに直接書き込まず、安全に保管するためのサービスは何ですか？,Secret Manager,Cloud CDN,Cloud Trace,Cloud Scheduler,A,Secret Manager は、API キー、パスワード、トークンなどのシークレットを一元管理します。IAM によりアクセスを制限し、アプリケーションは実行時に必要なシークレットだけを取得する設計にします。,【Google Cloud の生成 AI サービス】
97,生成 AI を使って顧客の自由記述を自動分類する場合、特定の属性を持つユーザー群で精度が一貫して低いことを確認しました。この問題は主に何を示していますか？,バイアスまたは公平性に関するリスク,コンテンツ配信のキャッシュヒット率,VPC のCIDR範囲の不足,オブジェクトストレージの耐久性不足,A,学習データや評価データの偏りにより、特定の集団に不公平な結果が生じる可能性があります。多様で代表性のある評価、影響分析、人によるレビュー、継続的なモニタリングによってリスクを管理します。,【Google Cloud の生成 AI サービス】
98,生成 AI を業務に導入する際、著作権や知的財産に関するリスクを低減するための対応として最も適切なものはどれですか？,利用するデータと生成物の利用条件を確認し、組織のポリシーに従ってレビュー・承認のプロセスを設ける,生成物は常に自由に利用・再配布できると仮定する,外部のコンテンツを出所確認なしに学習・公開する,生成 AI を使う場合は法務・コンプライアンスの確認を不要にする,A,生成 AI の利用では、入力データ、参照データ、出力コンテンツの権利や契約条件を確認することが必要です。特に外部公開や商用利用では、組織のガバナンスと人によるレビューを組み込みます。,【Google Cloud の生成 AI サービス】
99,生成 AI アプリケーションの利用状況と費用を部門やプロジェクト別に把握し、予算超過を防ぐために最も有効な方法はどれですか？,Google Cloud の請求アカウント、プロジェクト、ラベル、予算アラートを利用してコストを可視化・監視する,すべての利用者に同じ共有アカウントを使わせる,利用量を記録せず、月末にのみ確認する,モデルの利用を無制限に許可し、費用を評価しない,A,生成 AI の費用は、モデル、入出力トークン、リクエスト量などに影響されます。リソースを適切にプロジェクトへ分離し、ラベル、予算、アラートを活用して、利用状況と費用を継続的に管理します。,【Google Cloud の生成 AI サービス】
100,生成 AI を活用した社内ナレッジ検索を本番導入した後に、継続的に確認すべき項目として最も適切なものはどれですか？,回答の正確性・安全性・根拠文書の関連性、レイテンシ、コスト、利用者フィードバック,最初のリリース時のモデル名だけ,利用者が画面を開いた回数だけ,アプリケーションを開発した担当者の人数だけ,A,生成 AI の品質は、データ更新、利用者の質問傾向、モデルやプロンプトの変更によって変化します。技術指標とビジネス指標の両方を監視し、フィードバックに基づいて RAG データ、プロンプト、安全設定、運用プロセスを改善します。,【Google Cloud の生成 AI サービス】
101,商品カタログ用の画像を、テキストによる説明から複数案生成したい場合に活用できる生成 AI の種類は何ですか？,画像生成モデル,リレーショナルデータベース,DNS サービス,VPN 接続,A,画像生成モデルは、テキストプロンプトから新しい画像を生成したり、既存画像の一部を編集したりできます。商用利用では、生成物のレビュー、ブランドガイドライン、権利・利用条件の確認を行います。,【Google Cloud の生成 AI サービス】
102,開発者のコード作成、テストケースの提案、コードの説明を支援する生成 AI の代表的なユースケースは何ですか？,コード生成・開発支援,物理サーバーの交換,データセンターの冷却,ネットワークケーブルの敷設,A,生成 AI はコードの下書き、リファクタリング案、ドキュメント、テストの作成を支援できます。ただし、生成コードには脆弱性やライセンス上の問題が含まれる可能性があるため、レビューとテストが必要です。,【Google Cloud の生成 AI サービス】
103,生成 AI によるコード提案を本番システムへ取り込む前に、最も適切な対応はどれですか？,人によるレビューと自動テスト・セキュリティ検査を実施する,提案されたコードを確認せずに本番へ直接デプロイする,すべての生成コードに管理者権限を付与する,ソースコード管理を使わずに変更する,A,生成 AI は誤ったコードや安全でない実装を提案する可能性があります。既存の開発標準に従い、コードレビュー、ユニットテスト、CI/CD、脆弱性確認を組み合わせる必要があります。,【Google Cloud の生成 AI サービス】
104,企業が用途に応じて、より高性能なモデルと、低コスト・低レイテンシなモデルを使い分ける主な目的は何ですか？,品質、速度、コストの要件に合わせて最適化するため,すべての処理時間を意図的に長くするため,IAM のアクセス制御を不要にするため,モデル評価を不要にするため,A,高度な推論や複雑なマルチモーダル処理には高性能モデル、単純な分類や大量の要約には軽量モデルが適する場合があります。実際の評価データで品質、レイテンシ、コストを比較して選択します。,【Google Cloud の生成 AI サービス】
105,生成 AI の導入において、PoC（概念実証）の後に本番化を判断するための基準として最も適切なものはどれですか？,ビジネスKPI、回答品質、安全性、運用可能性、コスト、法令・社内ポリシーへの適合を評価する,デモで一度だけ良い応答が得られたこと,モデルの名称が新しいこと,プロンプトが長いこと,A,PoC では技術的な実現性だけでなく、業務上の効果、失敗時の影響、データガバナンス、継続コスト、責任分界を検証します。明確な成功指標を定めて段階的に展開します。,【Google Cloud の生成 AI サービス】
106,生成 AI で顧客向けの文章を生成する際、組織固有の文体、禁止表現、トーンを一貫して適用するために有効な方法はどれですか？,システム指示やプロンプトテンプレートで明確なガイドラインと例を与え、出力を評価する,モデルに何も指示せず完全に自由に生成させる,顧客にシステムプロンプトの変更権限を与える,すべての応答を同一の固定文にする,A,ブランドガイドラインを具体的な指示と例として管理し、用途別にテンプレート化すると一貫性を保ちやすくなります。公開前のレビューや自動チェックも併用します。,【Google Cloud の生成 AI サービス】
107,生成 AI による要約で、入力文書に書かれていない結論を加えないよう促すプロンプト設計として最も適切なものはどれですか？,「提示した文書だけを根拠に要約し、不明な場合は不明と回答する」と明示する,「不足情報はもっともらしい内容を補完する」と指示する,文書を渡さずに要約を依頼する,出力の長さや目的を一切指定しない,A,根拠の範囲と、情報が不足する場合の振る舞いを明示することで、不要な推測を減らせます。重要用途では、元文書との照合や人による確認も必要です。,【Google Cloud の生成 AI サービス】
108,企業の最新情報を反映した回答を生成するために RAG のデータソースを更新した場合、優先して実施すべきことは何ですか？,更新後の検索結果と回答品質を代表的な質問で再評価する,更新内容を確認せずにすべての古いデータを削除する,アクセス制御を全利用者に対して無効にする,更新後は一切の監視を行わない,A,RAG の回答品質は、文書の内容、チャンク方法、メタデータ、検索設定に依存します。データ更新後は、検索の関連性、引用、回答の正確性、アクセス制御が期待どおりであることを検証します。,【Google Cloud の生成 AI サービス】
109,社内ナレッジ検索において、利用者がアクセス権を持たない人事文書を生成 AI が回答に利用・表示しないようにするために必要なことは何ですか？,検索・取得の段階で利用者のアクセス権を適用する,すべての社内文書を全社員に公開する,モデルに文書の重要度だけを判断させる,機密文書をプロンプトへ常に追加する,A,RAG では、モデルに渡す前の取得結果が権限に従っている必要があります。IAM などによるデータアクセス制御を検索フロー全体で維持し、生成結果からの情報漏洩を防ぎます。,【Google Cloud の生成 AI サービス】
110,生成 AI アプリケーションにおける「データ レジデンシー」を考慮する主な理由は何ですか？,データの保存・処理場所に関する法令、契約、組織ポリシーを満たすため,モデルの出力を必ず短くするため,パスワード管理を不要にするため,すべてのサービスを単一ゾーンに配置するため,A,個人情報や規制対象データを扱う場合、データの保管・処理リージョンに要件があることがあります。利用するサービス、データソース、ログ、バックアップを含めて、要件に適合する構成を確認します。,【Google Cloud の生成 AI サービス】
111,プロンプトや応答に含まれる個人情報をログ分析に利用したい場合、リスクを抑える対応として最も適切なものはどれですか？,必要性を評価したうえで、機微情報をマスキング・匿名化し、アクセスと保持期間を制限する,すべての内容を無期限に平文で保存し、全社員に公開する,ログに個人情報が含まれても確認しない,ログのアクセス権を管理者以外に無制限で付与する,A,ログは障害調査や品質改善に有用ですが、機密データの保存先にもなります。データ最小化、マスキング、IAM による制御、保持期間の設計を行い、プライバシー要件を満たします。,【Google Cloud の生成 AI サービス】
112,生成 AI の安全性テストで、通常の利用例だけでなく、意図的に不適切な入力や攻撃的な入力を試す目的は何ですか？,安全フィルタやガードレールの有効性、想定外の振る舞いを確認するため,モデルの利用料金を意図的に増やすため,アクセス制御を無効にするため,テスト結果を記録しないため,A,レッドチーミングや敵対的テストでは、悪用、脱獄、プロンプト インジェクション、有害出力などのリスクを検証します。検出した課題は、プロンプト、安全設定、ツール権限、運用ルールの改善に活用します。,【Google Cloud の生成 AI サービス】
113,生成 AI システムで発生した不適切な回答や誤操作を調査・再発防止するために不可欠な要素は何ですか？,適切に保護された監査ログ、インシデント対応手順、改善プロセス,すべての実行記録の即時削除,問題を発見しても利用者に報告しないこと,モデルの出力を常に正しいものと見なすこと,A,監査可能性は、問題の範囲把握、原因分析、影響を受けた利用者への対応、改善に必要です。ログには機密データが含まれ得るため、保存内容とアクセス制御を適切に管理します。,【Google Cloud の生成 AI サービス】
114,組織が生成 AI の利用を全社展開する際、各部門が独自に無秩序なツールを使うことによるリスクを減らすために重要な取り組みは何ですか？,承認済みツール、データ利用ルール、アクセス制御、教育、ガバナンスを整備する,利用状況を一切把握しない,機密データを外部ツールへ自由に入力することを奨励する,ポリシーや相談窓口を設けない,A,生成 AI の価値を安全に広げるには、技術だけでなくガバナンスとリテラシーが必要です。利用可能なデータ、承認フロー、責任者、インシデント対応を明確にし、シャドーAIのリスクを低減します。,【Google Cloud の生成 AI サービス】
115,顧客チャットの問い合わせを生成 AI で「返品」「配送」「商品仕様」などに分類し、適切な部門へ振り分ける用途は何の例ですか？,テキスト分類,画像の超解像,ディスク暗号化,ネットワーク負荷分散,A,基盤モデルは、明確なラベルと出力形式をプロンプトで指定することで、問い合わせ分類にも利用できます。分類結果を自動処理に使う場合は、信頼度の低い結果を人間にエスカレーションする設計が有効です。,【Google Cloud の生成 AI サービス】
116,企業が大量の会議録を生成 AI で要約する際、要約の品質を評価する観点として最も適切なものはどれですか？,重要な決定事項・アクション項目を漏らさず、事実と整合し、読み手に必要な長さであること,元の会議録より常に長いこと,できるだけ専門用語を無関係に追加すること,すべての要約が同じ文面になること,A,要約は簡潔さだけでなく、網羅性、忠実性、可読性、対象読者への適合性で評価します。会議録にない決定事項を作り出していないかを確認することも重要です。,【Google Cloud の生成 AI サービス】
117,生成 AI による翻訳を顧客向けの契約書や法的通知に使用する場合、最も適切な運用はどれですか？,専門知識を持つ人が内容、用語、法的な正確性を確認する,生成結果をレビューなしで法的な最終文書として送付する,原文を保存せず、翻訳だけを残す,誤訳の報告を受け付けない,A,生成 AI は翻訳の下書きや作業支援に有用ですが、法的・規制上の影響が大きい文書では人間の専門家による確認が必要です。利用目的に応じたレビュー水準を定めます。,【Google Cloud の生成 AI サービス】
118,生成 AI の利用者に対し、モデルが生成した内容であることや、その限界を明示する主な目的は何ですか？,透明性を高め、利用者が出力を適切に判断・検証できるようにするため,出力が常に正確であると保証するため,セキュリティ対策を不要にするため,利用規約やポリシーを不要にするため,A,生成 AI の出力には誤りや偏りが含まれる可能性があります。生成結果であること、根拠、確認が必要な範囲を明確にすることは、責任ある利用と利用者の適切な意思決定を支援します。,【Google Cloud の生成 AI サービス】
119,生成 AI ワークロードの可用性を高めるため、アプリケーション側で設計すべき対応として適切なものはどれですか？,タイムアウト、再試行、エラー処理、代替フローを設け、障害時の利用者体験を考慮する,エラーが発生しても無限に同じリクエストを送信する,すべての依存先が常に利用可能であると仮定する,監視やアラートを設定しない,A,モデルAPI、検索基盤、外部ツールなどの依存先で一時的なエラーが起きることを想定します。再試行には上限とバックオフを設け、必要に応じて人間への引き継ぎや機能縮退を用意します。,【Google Cloud の生成 AI サービス】
120,Google Cloud 上で生成 AI を活用する取り組みを成功させるうえで、最も包括的で適切な考え方はどれですか？,ビジネス課題から始め、適切なモデル・データ・セキュリティ・評価・人による監督・運用改善を一体として設計する,最も大きいモデルを選べば、データや評価を考慮しなくてよい,生成 AI は一度導入すれば監視や改善が不要である,技術部門だけで決め、業務部門やリスク管理部門を関与させない,A,生成 AI は単なるモデル導入ではなく、データ、アプリケーション、セキュリティ、ガバナンス、業務プロセスを含む継続的な取り組みです。明確な価値指標と責任ある AI の原則に基づき、段階的に改善します。,【Google Cloud の生成 AI サービス】
121,生成 AI に曖昧な質問をしたところ、回答の形式や対象読者が毎回ばらつきました。最初に行うべき改善として最も適切なものはどれですか？,モデルに同じ質問を何度も送信する,目的、対象読者、出力形式、制約を明示した具体的なプロンプトにする,出力トークン数の上限だけを最大値に設定する,モデルの回答を確認せずに本番公開する,B,プロンプトには、達成したい目的、前提情報、対象読者、望む出力形式、守るべき制約を明記します。曖昧さを減らすことで、期待に沿った一貫性のある回答を得やすくなります。,【生成 AI モデル出力を改善する手法】
122,生成 AI に「会議メモを要約して」と依頼する代わりに、「意思決定・担当者・期限の 3 見出しを持つ箇条書きで、200 字以内に要約して」と指定する主な利点は何ですか？,モデルの学習データが自動更新される,出力の構造と評価基準が明確になり、用途に合う回答を得やすい,すべての事実誤認を自動的に排除できる,入力データを暗号化できる,B,出力形式、長さ、含める項目を指定することは、プロンプト エンジニアリングの基本です。後続システムでの処理や人による確認もしやすくなります。,【生成 AI モデル出力を改善する手法】
123,顧客レビューを「肯定的・中立・否定的」のいずれか一語だけで分類させたい場合、最も効果的なプロンプト設計はどれですか？,「レビューについて自由に考えてください」と依頼する,分類ラベル、判定基準、出力はラベル一語のみという制約を指定する,モデルに回答の理由を無制限に長く書かせる,温度を必ず最大に設定する,B,分類タスクでは、許容するラベルと出力形式を明示します。必要に応じてラベル付きの例も示すと、モデルが期待する分類基準を理解しやすくなります。,【生成 AI モデル出力を改善する手法】
124,モデルが期待と異なる回答を繰り返すとき、プロンプトを一度に大幅変更するのではなく、小さく変更して結果を比較するべき主な理由は何ですか？,変更による効果と悪影響を特定しやすく、改善を再現可能にするため,モデルのコンテキスト ウィンドウを無制限にするため,モデルの基盤モデルを自動的に再トレーニングするため,すべてのプロンプトを短くするため,A,プロンプトは仮説を立てて反復的に評価します。変更を小さく保ち、代表的なテストケースで比較すれば、どの指示や例が品質に寄与したかを判断できます。,【生成 AI モデル出力を改善する手法】
125,少数の入力例と期待する出力例をプロンプト内に示し、モデルに同様の形式で回答させる手法は何ですか？,ゼロショット プロンプティング,Few-shot プロンプティング,ファインチューニング,データ暗号化,B,Few-shot プロンプティングは、少数の例（demonstrations）によってタスク、文体、出力スキーマをモデルに示す手法です。モデル自体の重みを変更せずに、推論時の振る舞いを誘導します。,【生成 AI モデル出力を改善する手法】
126,新しいタスクについて、例を提示せず指示だけでモデルに回答させる手法は何ですか？,ゼロショット プロンプティング,Few-shot プロンプティング,検索拡張生成（RAG）,人間による強化学習,A,ゼロショット プロンプティングでは、タスクの説明と制約のみを与えます。単純なタスクでは十分な場合がありますが、特有の判断基準や出力形式が必要なら Few-shot の例を追加します。,【生成 AI モデル出力を改善する手法】
127,複雑な算数・論理問題で、最終回答だけでなく「前提を整理し、手順を確認してから結論を示す」よう促す手法の目的は何ですか？,問題を段階に分け、推論の誤りを減らしやすくすること,モデルの学習済み知識を完全に削除すること,必ず回答を短くすること,外部データを検索しないようにすること,A,複雑な課題では、作業を段階化する指示（Chain-of-Thought を促す指示など）が有効なことがあります。ただし、出力された推論過程を無批判に信頼せず、最終結果を検証する運用が必要です。,【生成 AI モデル出力を改善する手法】
128,生成 AI に社内規程に基づく回答をさせたいが、モデルの一般知識だけでは最新の規程を保証できません。最も適切な改善方法はどれですか？,温度を高くして多様な回答を得る,関連する最新の規程文書を検索してプロンプトに渡す RAG を使用する,モデルに規程を推測するよう指示する,回答の最大文字数を減らす,B,検索拡張生成（RAG）は、信頼できる外部知識を検索し、その検索結果をコンテキストとしてモデルに渡す方法です。変化する社内文書や専門知識に基づく回答の根拠性と最新性を高めます。,【生成 AI モデル出力を改善する手法】
129,RAG で取得した文書に基づいて回答させる際、ハルシネーションを抑えるプロンプト上の指示として最も適切なものはどれですか？,「文書に記載がない場合は、推測せず『情報不足』と回答する」と指示する,「不足部分はもっともらしく補完する」と指示する,検索文書を表示せず、モデルの記憶だけで答えさせる,すべての回答を必ず肯定文にする,A,根拠として渡したコンテキストに回答を限定し、根拠がない場合の応答方法を明示します。さらに引用元を示させると、利用者による検証もしやすくなります。,【生成 AI モデル出力を改善する手法】
130,RAG 用の文書を検索可能な小さな単位に分割する（チャンク化）際、適切な設計として最も重要なものはどれですか？,文書の意味的なまとまりを保ちつつ、検索結果がコンテキストに収まるサイズにする,常に文書全体を 1 チャンクにする,すべての文字を 1 文字ずつ別チャンクにする,チャンクの内容を削除してタイトルだけ残す,A,チャンクが大きすぎると無関係な情報が増え、小さすぎると必要な文脈が失われます。見出しや段落などの意味的な境界を考慮し、質問に答えるのに十分な文脈を保つことが重要です。,【生成 AI モデル出力を改善する手法】
131,検索結果の文書をそのまま大量にプロンプトへ追加した結果、回答品質が低下しコストも増えました。最も考えられる原因は何ですか？,無関係・重複した情報がコンテキストを占有し、重要な根拠が埋もれた,モデルの出力形式が必ず JSON になった,モデルの温度が自動的に 0 になった,RAG を使うと検索が不要になる,A,RAG では検索精度とコンテキスト量の両方を最適化します。関連性の高い文書に絞り込み、重複を除去し、必要に応じて再ランキングを行うことで、ノイズとトークン消費を抑えます。,【生成 AI モデル出力を改善する手法】
132,生成 AI の回答を API の後続処理で安全に利用するため、`name`、`summary`、`risk_level` を必須フィールドとする JSON を返させたい場合、最も適切な方法はどれですか？,自由形式の長文だけを要求する,JSON スキーマまたは厳密な出力例を示し、JSON 以外を出力しないよう指示する,モデルに HTML のみを出力させる,回答を人手でコピーしてから毎回解析する,B,構造化出力を明確に指定すると、アプリケーションでの検証・解析が容易になります。実装側でも JSON の妥当性検証や必須フィールドのチェックを行い、不正な出力に備えます。,【生成 AI モデル出力を改善する手法】
